listing_path,location,unit_number,building_class,beds,size,rent,sun_exposure_cat,sun_exposure,floor
l-ld6pu760jtih,11217,39C,rental unit,0.0,,3635,No sunlight data,No sunlight data available and the rent is 3635,3
l-s5q7n33gcchd,11217,41G,rental unit,2.0,,6534,No sunlight data,No sunlight data available and the rent is 6534,4
l-v2mt5f219pb9,11217,34D,rental unit,0.0,,3596,No sunlight data,No sunlight data available and the rent is 3596,3
l-c2lrno62s0nv,11217,22A,rental unit,1.0,,4366,No sunlight data,No sunlight data available and the rent is 4366,2
l-ckbg6cp1m7dl,11217,PHB,rental unit,0.0,,3555,No sunlight data,No sunlight data available and the rent is 3555,
l-e2680232jvov,11217,30F,rental unit,1.0,,4551,No sunlight data,No sunlight data available and the rent is 4551,3
l-t9tlcnog7ff6,11217,9S,rental unit,0.0,,3258,No sunlight data,No sunlight data available and the rent is 3258,9
l-up4e9q2n35ir,11217,5L,rental unit,0.0,,3656,No sunlight data,No sunlight data available and the rent is 3656,5
l-4lgcsvm0lf5o,11217,GARDEN,rental unit,2.0,1400.0,4995,Limited natural light,This apartment has limited sunlight and the rent is 4995,
l-ftuu4iri0p65,11217,3,rental unit,2.0,,6850,Limited natural light,This apartment has limited sunlight and the rent is 6850,3
l-35n1kpsbsl8k,11230,6D,rental unit,3.0,,3517,No sunlight data,No sunlight data available and the rent is 3517,6
l-9s0sjbkgrel0,11205,14,rental unit,0.0,,1995,No sunlight data,No sunlight data available and the rent is 1995,1
l-4brn1q68tp8k,11238,1S,rental unit,3.0,,5500,Limited natural light,This apartment has limited sunlight and the rent is 5500,1
l-ttrlvi6qrtpt,11238,4H,rental unit,2.0,1200.0,4000,No sunlight data,No sunlight data available and the rent is 4000,4
l-pqlbdljmd2t7,11238,5DD,rental unit,0.0,,3100,No sunlight data,No sunlight data available and the rent is 3100,5
l-rfst4emucu64,11238,5A,rental unit,0.0,,3000,No sunlight data,No sunlight data available and the rent is 3000,5
l-7g46vji1nit8,11238,2K,rental unit,1.0,,4200,No sunlight data,No sunlight data available and the rent is 4200,2
l-s3m87u6ei6et,11238,6P,rental unit,1.0,,4000,No sunlight data,No sunlight data available and the rent is 4000,6
l-3ro4vnev6rac,11238,4M,rental unit,0.0,,2950,No sunlight data,No sunlight data available and the rent is 2950,4
l-1ts5anpgrdrk,11238,4,rental unit,4.0,,5900,Moderate sunlight,This apartment has moderate sunlight and the rent is 5900,4
l-tq5mvoh3brn1,11238,40,rental unit,2.0,,4222,No sunlight data,No sunlight data available and the rent is 4222,4
l-n35uo8o849mb,11238,3R,rental unit,2.0,,4000,No sunlight data,No sunlight data available and the rent is 4000,3
l-7u0vaugt03jf,11238,4L,rental unit,3.0,1100.0,3850,Bright & sun drenched,This apartment is bright & sun-drenched and the rent is 3850,4
l-1akn6ug8021r,11238,2L,rental unit,2.0,,3900,Moderate sunlight,This apartment has moderate sunlight and the rent is 3900,2
l-ae3qr8gj944v,11238,420,rental unit,1.0,,4000,No sunlight data,No sunlight data available and the rent is 4000,4
l-ue6jib37qqnf,11238,4,rental unit,1.0,,3500,No sunlight data,No sunlight data available and the rent is 3500,4
l-metf0tnqb3oa,11238,6B,rental unit,2.0,,4000,No sunlight data,No sunlight data available and the rent is 4000,6
l-vrpl7eb2ioo3,11216,,rental unit,2.0,,2650,No sunlight data,No sunlight data available and the rent is 2650,
l-utas6f1ec013,11216,1L,rental unit,2.0,830.0,5200,No sunlight data,No sunlight data available and the rent is 5200,1
l-94a2gjl0u1g1,11216,7A,rental unit,1.0,,3050,No sunlight data,No sunlight data available and the rent is 3050,7
l-qtrv180v4kc8,11238,504,rental unit,1.0,,3500,No sunlight data,No sunlight data available and the rent is 3500,5
l-v22eed67chvl,11238,501,rental unit,2.0,,4200,No sunlight data,No sunlight data available and the rent is 4200,5
l-rk0ue9fad9jb,11238,404,rental unit,0.0,,2995,No sunlight data,No sunlight data available and the rent is 2995,4
l-jmve9n9ak98q,11205,4C,rental unit,1.0,,3075,No sunlight data,No sunlight data available and the rent is 3075,4
l-751fu9plg6r9,11210,3C,rental unit,1.0,,2450,No sunlight data,No sunlight data available and the rent is 2450,3
l-d7gdcs61u3fa,11216,1,rental unit,2.0,850.0,4500,Moderate sunlight,This apartment has moderate sunlight and the rent is 4500,1
l-vls9m251n74g,11216,4,rental unit,4.0,,4500,No sunlight data,No sunlight data available and the rent is 4500,4
l-jrptab063dgo,11216,5F,rental unit,2.0,,3327,No sunlight data,No sunlight data available and the rent is 3327,5
l-1pkjauobioo,11216,2C,rental unit,1.0,,2850,No sunlight data,No sunlight data available and the rent is 2850,2
l-vdof6pd2ldas,11216,3D,rental unit,3.0,,3390,No sunlight data,No sunlight data available and the rent is 3390,3
l-867k1cm1203,11216,1,rental unit,4.0,3600.0,9000,Limited natural light,This apartment has limited sunlight and the rent is 9000,1
l-8eu4lc6s5t8o,11216,1F,rental unit,1.0,,2700,No sunlight data,No sunlight data available and the rent is 2700,1
l-cgdl66mj3mrc,11216,1,rental unit,2.0,,2900,Limited natural light,This apartment has limited sunlight and the rent is 2900,1
l-naa8hv1vg10p,11216,3,rental unit,1.0,,2400,No sunlight data,No sunlight data available and the rent is 2400,3
l-pngptb07ovrd,11216,3,rental unit,1.0,700.0,2900,Limited natural light,This apartment has limited sunlight and the rent is 2900,3
l-i30osemmrikk,11216,3,rental unit,3.0,,4250,No sunlight data,No sunlight data available and the rent is 4250,3
l-iu8v6tj3gp7p,11216,4G,rental unit,3.0,,3027,No sunlight data,No sunlight data available and the rent is 3027,4
l-f280460qpan0,11221,1R,rental unit,1.0,1066.0,4150,No sunlight data,No sunlight data available and the rent is 4150,1
l-21m12jnumbm4,11221,2,rental unit,3.0,,3678,No sunlight data,No sunlight data available and the rent is 3678,2
l-iqp310aocqdd,11213,4F,rental unit,3.0,,3250,No sunlight data,No sunlight data available and the rent is 3250,4
l-7g7gkgl3ak4i,11213,2B,rental unit,1.0,600.0,2850,Limited natural light,This apartment has limited sunlight and the rent is 2850,2
l-1s265npkj314,11213,2,rental unit,3.0,,4250,No sunlight data,No sunlight data available and the rent is 4250,2
