geoid,Zipcode,Total,"B09021001, Error",Lives alone,"B09021002, Error",Householder living with spouse or spouse of householder,"B09021003, Error",Householder living with unmarried partner or unmarried partner of householder,"B09021004, Error",Child of householder,"B09021005, Error",Other relatives,"B09021006, Error",Other nonrelatives,"B09021007, Error",18 to 34 years:,"B09021008, Error",Lives alone,"B09021009, Error",Householder living with spouse or spouse of householder,"B09021010, Error",Householder living with unmarried partner or unmarried partner of householder,"B09021011, Error",Child of householder,"B09021012, Error",Other relatives,"B09021013, Error",Other nonrelatives,"B09021014, Error",35 to 64 years:,"B09021015, Error",Lives alone,"B09021016, Error",Householder living with spouse or spouse of householder,"B09021017, Error",Householder living with unmarried partner or unmarried partner of householder,"B09021018, Error",Child of householder,"B09021019, Error",Other relatives,"B09021020, Error",Other nonrelatives,"B09021021, Error",65 years and over:,"B09021022, Error",Lives alone,"B09021023, Error",Householder living with spouse or spouse of householder,"B09021024, Error",Householder living with unmarried partner or unmarried partner of householder,"B09021025, Error",Child of householder,"B09021026, Error",Other relatives,"B09021027, Error",Other nonrelatives,"B09021028, Error"
86000US11231,11231,30147,1552,5250,572,13800,1188,3958,876,2427,565,3040,579,1672,405,8459,813,949,223,2157,519,1612,510,2016,514,793,304,932,322,18067,1375,3082,469,10311,1089,2022,723,411,158,1700,333,541,173,3621,455,1219,256,1332,297,324,266,0,27,547,181,199,172
86000US11232,11232,20442,1407,2172,372,6480,716,2682,682,2318,466,3539,698,3251,701,7404,773,413,193,1195,286,1333,563,1852,407,924,266,1687,376,10769,942,1150,241,4596,597,1332,371,447,172,1796,401,1448,452,2269,350,609,254,689,191,17,27,19,25,819,272,116,86
86000US11233,11233,63939,2095,10410,885,14457,1230,3613,567,9661,1187,18497,1437,7301,1153,23677,1477,1813,323,2379,454,1984,423,7636,1083,5178,753,4687,1017,30774,1287,5500,653,9733,1195,1484,341,2019,348,9947,888,2091,502,9488,807,3097,505,2345,515,145,85,6,13,3372,501,523,351
86000US11234,11234,73146,1986,7543,567,31798,1277,2210,451,12579,790,16744,1315,2272,418,17610,925,587,170,2431,421,266,172,9811,754,3730,465,785,261,37502,1336,3318,416,20741,1121,1500,371,2728,364,8076,756,1139,288,18034,1111,3638,387,8626,853,444,226,40,45,4938,628,348,91
86000US11235,11235,68485,1911,11226,763,32890,1556,1830,443,8005,908,10800,1008,3734,787,16032,1119,865,173,4697,898,661,275,6299,858,2105,456,1405,345,32272,1340,3770,533,18568,1215,936,251,1653,394,5455,645,1890,529,20181,1116,6591,656,9625,859,233,121,53,41,3240,473,439,182
86000US11236,11236,77796,2213,8267,537,22008,1144,2017,394,16236,1055,25786,1573,3482,568,22677,1073,868,251,1934,411,524,194,12048,947,6321,666,982,241,39716,1340,4064,399,14544,923,1334,313,4134,498,13820,878,1820,440,15403,866,3335,387,5530,623,159,90,54,43,5645,545,680,210
86000US11237,11237,40385,2054,3888,418,9521,1047,4498,846,5266,806,6912,815,10300,1317,19816,1399,1314,313,1684,597,2236,486,4490,758,1630,434,8462,1059,16437,1016,1697,285,6202,774,2095,520,776,249,4022,626,1645,457,4132,671,877,202,1635,573,167,198,0,30,1260,342,193,128
86000US11238,11238,47998,1842,9299,610,16884,1314,5428,779,3323,601,4747,687,8317,1296,19005,1185,2521,386,3675,552,3247,584,2254,535,885,261,6423,1050,22641,1200,4596,460,11089,1030,1909,428,1062,255,2441,433,1544,409,6352,487,2182,324,2120,343,272,168,7,13,1421,300,350,313
86000US11239,11239,12699,1001,3585,420,2752,659,428,241,2216,457,3460,676,258,240,2918,621,295,192,112,73,109,93,1552,451,776,374,74,85,5808,634,1603,406,1142,329,289,222,664,266,1980,396,130,109,3973,577,1687,233,1498,560,30,50,0,20,704,231,54,68
86000US11378,11378,30536,1635,2768,325,13410,817,1836,457,5232,611,5751,743,1539,416,8115,791,298,118,1070,257,618,256,4561,595,1091,273,477,184,17772,1125,1399,305,10446,743,1162,362,655,172,3175,472,935,359,4649,450,1071,169,1894,336,56,59,16,23,1485,342,127,69
86000US11385,11385,86912,2736,7873,530,31949,1407,6785,1134,12020,988,18155,1607,10130,1097,29902,1445,1459,291,4137,404,3404,719,9895,882,4590,758,6417,813,44610,1469,3795,468,22724,1151,3306,626,2060,434,9404,966,3321,617,12400,975,2619,295,5088,742,75,48,65,69,4161,540,392,170
86000US11414,11414,24937,1756,3222,571,10738,1468,1307,569,4135,569,4646,871,889,495,4809,649,95,72,703,304,561,370,2627,497,573,270,250,175,12694,1444,997,265,6654,1250,684,395,1508,467,2275,570,576,375,7434,759,2130,491,3381,654,62,70,0,27,1798,461,63,74
86000US11416,11416,20987,1178,1145,281,7738,734,713,298,4418,565,5818,743,1155,290,6979,747,102,54,926,283,230,144,3626,551,1650,308,445,174,10716,628,607,214,5258,566,440,193,775,178,3067,458,569,170,3292,483,436,154,1554,344,43,50,17,19,1101,278,141,77
86000US11417,11417,24918,1430,1474,306,10187,808,1217,334,5113,620,6025,698,902,260,8033,786,87,98,1219,275,479,205,4479,601,1506,402,263,116,12749,773,803,251,7255,675,639,236,597,173,3047,373,408,138,4136,666,584,141,1713,363,99,116,37,34,1472,397,231,118
86000US11421,11421,33675,1892,1593,341,12010,987,1594,363,6080,609,9790,1188,2608,618,9642,743,220,83,1010,267,546,209,4986,542,2213,420,667,236,18450,1441,731,274,8637,895,895,256,1094,265,5400,847,1693,485,5583,536,642,126,2363,360,153,102,0,27,2177,370,248,104
